Model,MAE,MSE,R2
LinearRegression,82657.946058922,10549721686.159279,0.9146454505138069
RobustRegression,199465.55955429235,61664910393.24919,0.5010881990728202
RidgeRegression,82659.67244409776,10549745186.670172,0.91464526037841
LassoRegression,82657.94662172231,10549717660.356377,0.9146454830853386
ElasticNet,99126.80843102593,15081376466.559593,0.8779812271613102
PolynomialRegression,83413.36423272327,10664698477.378294,0.9137152087019549
SGDRegressor,1.8632489050849326e+18,3.559222524368158e+36,-2.8796573419289373e+25
ANN,199350.3487827743,61512749312.82423,0.5023192875181244
RandomForest,98568.27263676128,15072819469.804882,0.8780504591870149
SVM,282947.68758691323,123546565157.52672,0.0004227861838135283
LGBM,92133.9888284538,13097708114.507051,0.8940304769478327
XGBoost,101565.19208841266,16138680641.877495,0.8694269046645823
KNN,198086.23684543537,60395811313.31432,0.5113560889227768
