Model,MAE,MSE,R2
LinearRegression,82657.94604671019,10549721685.894312,0.9146454505152328
RobustRegression,199465.5595397239,61664910386.33476,0.5010881991245666
RidgeRegression,82659.67243125489,10549745186.402664,0.9146452603798565
LassoRegression,82657.9466095072,10549717660.090046,0.9146454830867754
ElasticNet,99126.80842929635,15081376464.722391,0.8779812271751481
PolynomialRegression,83413.36420901136,10664698447.663504,0.9137152089416425
SGDRegressor,1.437049400605566e+18,2.1583198930771925e+36,-1.7462301622983328e+25
ANN,199380.22305818505,61487348960.58332,0.5025247939421484
RandomForest,98600.92789343183,15072813192.879808,0.878050509970657
SVM,282947.68759512587,123546565157.05841,0.0004227861791955556
LGBM,92133.9888186442,13097708114.683702,0.8940304769455122
XGBoost,101565.192081575,16138680640.604383,0.8694269046737845
KNN,198086.23683588803,60395811311.523,0.5113560889331601
